Linux 6.8.0-58-generic (PetWealth) 	05/14/2025 	_x86_64_	(2 CPU)

03:00:01 AM       DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
03:10:12 AM     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:12 AM       sda      4.98      0.51     32.03      0.00      6.53      0.00      0.80      0.05
03:20:01 AM     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 AM       sda      2.91      1.34     14.36      0.00      5.40      0.00      0.52      0.04
03:30:01 AM     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 AM       sda      2.63      0.00     15.25      0.00      5.81      0.00      0.57      0.04
03:40:00 AM     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:00 AM       sda     39.51     54.51    769.48      0.00     20.86      0.01      0.31      0.63
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     12.50     14.07    207.62      0.00     17.73      0.01      0.39      0.19
